L,a_x,a_y,alfa,omega,theta,time,v_x,v_x_noisy,v_y,v_y_noisy,x,y,||a||,||v||
10.072830,4.914791,-4.435178,0.657225,-0.345585,-0.734147,9.420000,-2.584313,-2.672917,2.332122,2.331160,-6.748337,-7.478091,6.620119,3.481015
10.072602,4.918056,-4.469059,0.659738,-0.339012,-0.737603,9.430000,-2.527187,-2.687697,2.296465,2.331927,-6.773987,-7.454556,6.645281,3.414737
10.072378,4.921031,-4.502315,0.662196,-0.332415,-0.740993,9.440000,-2.470303,-2.351661,2.260112,2.271751,-6.799069,-7.431384,6.669886,3.348209
10.072157,4.923728,-4.534941,0.664598,-0.325793,-0.744318,9.450000,-2.413664,-2.621285,2.223076,2.215710,-6.823585,-7.408579,6.693937,3.281439
10.071941,4.926159,-4.566934,0.666945,-0.319147,-0.747576,9.460000,-2.357268,-2.599622,2.185371,2.321916,-6.847538,-7.386150,6.717435,3.214430
10.071727,4.928337,-4.598287,0.669238,-0.312478,-0.750767,9.470000,-2.301117,-2.248679,2.147012,2.008798,-6.870930,-7.364103,6.740382,3.147189
10.071518,4.930275,-4.628997,0.671476,-0.305785,-0.753892,9.480000,-2.245211,-2.282515,2.108011,2.155103,-6.893764,-7.342444,6.762783,3.079721
10.071312,4.931985,-4.659060,0.673660,-0.299070,-0.756950,9.490000,-2.189549,-2.232376,2.068384,2.296333,-6.916043,-7.321180,6.784638,3.012032
10.071110,4.933478,-4.688471,0.675790,-0.292334,-0.759940,9.500000,-2.134130,-2.059440,2.028145,2.174580,-6.937768,-7.300317,6.805951,2.944127
10.070913,4.934767,-4.717227,0.677865,-0.285576,-0.762864,9.510000,-2.078954,-2.192754,1.987307,2.001805,-6.958943,-7.279862,6.826723,2.876011
10.070719,4.935862,-4.745324,0.679888,-0.278797,-0.765719,9.520000,-2.024018,-1.903456,1.945885,1.973916,-6.979570,-7.259819,6.846958,2.807689
10.070529,4.936776,-4.772759,0.681857,-0.271998,-0.768507,9.530000,-1.969322,-2.111801,1.903894,1.977002,-6.999651,-7.240196,6.866658,2.739168
10.070343,4.937520,-4.799529,0.683773,-0.265180,-0.771227,9.540000,-1.914863,-1.976489,1.861348,1.777931,-7.019189,-7.220997,6.885824,2.670452
10.070162,4.938104,-4.825630,0.685636,-0.258342,-0.773879,9.550000,-1.860639,-1.792315,1.818260,1.896257,-7.038186,-7.202228,6.904460,2.601547
10.069984,4.938539,-4.851061,0.687446,-0.251486,-0.776463,9.560000,-1.806648,-1.887700,1.774646,1.634121,-7.056645,-7.183895,6.922568,2.532458
10.069811,4.938835,-4.875817,0.689204,-0.244611,-0.778977,9.570000,-1.752885,-1.773755,1.730519,1.681581,-7.074567,-7.166003,6.940150,2.463190
10.069642,4.939004,-4.899898,0.690909,-0.237719,-0.781424,9.580000,-1.699350,-1.758171,1.685895,1.716981,-7.091956,-7.148556,6.957209,2.393748
10.069478,4.939054,-4.923300,0.692563,-0.230810,-0.783801,9.590000,-1.646037,-1.693591,1.640787,1.635043,-7.108813,-7.131561,6.973746,2.324138
10.069318,4.938995,-4.946021,0.694165,-0.223885,-0.786109,9.600000,-1.592943,-1.520831,1.595209,1.541511,-7.125141,-7.115021,6.989764,2.254365
10.069162,4.938838,-4.968059,0.695715,-0.216943,-0.788348,9.610000,-1.540065,-1.565155,1.549177,1.531020,-7.140943,-7.098941,7.005265,2.184434
10.069011,4.938591,-4.989413,0.697214,-0.209986,-0.790517,9.620000,-1.487398,-1.385520,1.502704,1.630895,-7.156219,-7.083326,7.020251,2.114349
10.068865,4.938263,-5.010080,0.698661,-0.203014,-0.792617,9.630000,-1.434937,-1.446584,1.455805,1.434662,-7.170973,-7.068181,7.034724,2.044117
10.068723,4.937864,-5.030059,0.700058,-0.196027,-0.794647,9.640000,-1.382678,-1.345268,1.408495,1.414765,-7.185206,-7.053509,7.048687,1.973742
10.068585,4.937400,-5.049349,0.701404,-0.189026,-0.796607,9.650000,-1.330617,-1.368806,1.360787,1.221391,-7.198921,-7.039314,7.062141,1.903229
10.068453,4.936881,-5.067947,0.702699,-0.182012,-0.798498,9.660000,-1.278747,-1.291245,1.312695,1.338050,-7.212119,-7.025601,7.075089,1.832583
10.068325,4.936315,-5.085853,0.703943,-0.174985,-0.800318,9.670000,-1.227063,-1.241293,1.264235,1.260151,-7.224803,-7.012374,7.087532,1.761810
10.068201,4.935708,-5.103065,0.705138,-0.167946,-0.802068,9.680000,-1.175561,-1.262786,1.215421,1.296820,-7.236974,-6.999635,7.099471,1.690914
10.068083,4.935070,-5.119583,0.706282,-0.160895,-0.803747,9.690000,-1.124233,-1.092166,1.166266,1.129897,-7.248634,-6.987388,7.110910,1.619900
10.067969,4.934405,-5.135404,0.707377,-0.153832,-0.805356,9.700000,-1.073075,-1.093637,1.116786,1.088767,-7.259785,-6.975638,7.121849,1.548774
10.067860,4.933722,-5.150529,0.708422,-0.146758,-0.806894,9.710000,-1.022080,-0.983762,1.066994,1.025186,-7.270428,-6.964387,7.132290,1.477539
10.067756,4.933027,-5.164956,0.709417,-0.139674,-0.808362,9.720000,-0.971241,-0.907742,1.016904,1.049202,-7.280566,-6.953637,7.142235,1.406202
10.067657,4.932326,-5.178684,0.710362,-0.132580,-0.809759,9.730000,-0.920553,-0.951547,0.966532,0.840921,-7.290200,-6.943393,7.151686,1.334766
10.067563,4.931625,-5.191713,0.711259,-0.125476,-0.811084,9.740000,-0.870008,-0.916594,0.915891,0.943722,-7.299330,-6.933657,7.160643,1.263238
10.067473,4.930929,-5.204042,0.712106,-0.118363,-0.812339,9.750000,-0.819599,-0.830121,0.864995,0.910097,-7.307960,-6.924431,7.169109,1.191621
10.067389,4.930244,-5.215671,0.712904,-0.111242,-0.813523,9.760000,-0.769321,-0.708505,0.813859,0.775942,-7.316089,-6.915718,7.177084,1.119920
10.067310,4.929576,-5.226598,0.713653,-0.104113,-0.814635,9.770000,-0.719165,-0.674787,0.762497,0.761344,-7.323720,-6.907521,7.184570,1.048141
10.067235,4.928928,-5.236823,0.714354,-0.096977,-0.815676,9.780000,-0.669124,-0.668681,0.710923,0.731506,-7.330854,-6.899841,7.191568,0.976288
10.067166,4.928305,-5.246346,0.715005,-0.089833,-0.816646,9.790000,-0.619192,-0.630971,0.659151,0.637089,-7.337491,-6.892681,7.198079,0.904366
10.067102,4.927711,-5.255167,0.715609,-0.082683,-0.817545,9.800000,-0.569360,-0.555827,0.607195,0.600412,-7.343633,-6.886043,7.204104,0.832380
10.067043,4.927151,-5.263284,0.716163,-0.075527,-0.818371,9.810000,-0.519621,-0.541749,0.555070,0.557439,-7.349281,-6.879928,7.209645,0.760335
10.066989,4.926627,-5.270698,0.716669,-0.068365,-0.819127,9.820000,-0.469967,-0.490358,0.502790,0.467626,-7.354436,-6.874339,7.214702,0.688234
10.066940,4.926144,-5.277408,0.717127,-0.061199,-0.819810,9.830000,-0.420391,-0.400941,0.450368,0.492826,-7.359098,-6.869276,7.219275,0.616084
10.066896,4.925703,-5.283415,0.717537,-0.054028,-0.820422,9.840000,-0.370885,-0.377204,0.397819,0.392969,-7.363268,-6.864741,7.223366,0.543889
10.066857,4.925308,-5.288717,0.717898,-0.046852,-0.820963,9.850000,-0.321440,-0.312285,0.345157,0.368097,-7.366948,-6.860735,7.226976,0.471654
10.066823,4.924960,-5.293314,0.718211,-0.039673,-0.821431,9.860000,-0.272049,-0.281209,0.292397,0.277522,-7.370137,-6.857260,7.230104,0.399383
10.066795,4.924663,-5.297207,0.718476,-0.032491,-0.821828,9.870000,-0.222704,-0.233804,0.239551,0.250765,-7.372836,-6.854316,7.232752,0.327081
10.066771,4.924417,-5.300394,0.718693,-0.025306,-0.822153,9.880000,-0.173396,-0.184870,0.186635,0.200042,-7.375045,-6.851904,7.234919,0.254753
10.066753,4.924223,-5.302877,0.718862,-0.018119,-0.822406,9.890000,-0.124118,-0.120165,0.133662,0.120526,-7.376766,-6.850025,7.236607,0.182403
10.066740,4.924084,-5.304655,0.718983,-0.010931,-0.822587,9.900000,-0.074861,-0.069588,0.080647,0.073739,-7.377997,-6.848680,7.237815,0.110037
10.066732,4.924000,-5.305727,0.719056,-0.003741,-0.822696,9.910000,-0.025617,-0.024689,0.027603,0.029133,-7.378740,-6.847868,7.238544,0.037659
10.066730,4.923971,-5.306094,0.719081,0.003450,-0.822734,9.920000,0.023622,0.023533,-0.025455,-0.026474,-7.378994,-6.847590,7.238793,0.034727
10.066732,4.923998,-5.305756,0.719058,0.010640,-0.822699,9.930000,0.072864,0.072376,-0.078513,-0.079928,-7.378760,-6.847846,7.238563,0.107115
10.066740,4.924080,-5.304712,0.718987,0.017831,-0.822593,9.940000,0.122118,0.127598,-0.131558,-0.128251,-7.378037,-6.848637,7.237854,0.179500
10.066753,4.924217,-5.302962,0.718868,0.025021,-0.822414,9.950000,0.171392,0.154142,-0.184575,-0.172765,-7.376825,-6.849961,7.236665,0.251879
10.066771,4.924408,-5.300508,0.718701,0.032210,-0.822164,9.960000,0.220694,0.218666,-0.237550,-0.198332,-7.375124,-6.851819,7.234996,0.324246
10.066794,4.924652,-5.297348,0.718486,0.039397,-0.821842,9.970000,0.270032,0.265703,-0.290468,-0.297091,-7.372933,-6.854209,7.232848,0.396597
10.066822,4.924947,-5.293482,0.718223,0.046581,-0.821448,9.980000,0.319415,0.300686,-0.343317,-0.335358,-7.370253,-6.857133,7.230218,0.468927
10.066855,4.925293,-5.288911,0.717911,0.053764,-0.820982,9.990000,0.368850,0.382557,-0.396081,-0.375490,-7.367083,-6.860588,7.227108,0.541231
